community_name_join,year,crime_type,crime_count,population_2019,sector,comm_structure,crime_rate_per_1000
mckenzie towne,2022,Break & Enter - Other Premises,24,18283.0,SOUTHEAST,BUILDING OUT,1.3126948531422633
mckenzie towne,2022,Commercial Robbery,2,18283.0,SOUTHEAST,BUILDING OUT,0.10939123776185528
mckenzie towne,2022,Street Robbery,2,18283.0,SOUTHEAST,BUILDING OUT,0.10939123776185528
mckenzie towne,2022,Theft FROM Vehicle,79,18283.0,SOUTHEAST,BUILDING OUT,4.320953891593283
mckenzie towne,2022,Theft OF Vehicle,31,18283.0,SOUTHEAST,BUILDING OUT,1.6955641853087566
mckenzie towne,2022,Violence  'Other' (Non-domestic),20,18283.0,SOUTHEAST,BUILDING OUT,1.0939123776185529
mckenzie towne,2023,Assault (Non-domestic),30,18283.0,SOUTHEAST,BUILDING OUT,1.640868566427829
mckenzie towne,2023,Break & Enter - Commercial,26,18283.0,SOUTHEAST,BUILDING OUT,1.4220860909041186
mckenzie towne,2023,Break & Enter - Dwelling,6,18283.0,SOUTHEAST,BUILDING OUT,0.3281737132855658
mckenzie towne,2023,Break & Enter - Other Premises,11,18283.0,SOUTHEAST,BUILDING OUT,0.601651807690204
mckenzie towne,2023,Commercial Robbery,1,18283.0,SOUTHEAST,BUILDING OUT,0.05469561888092764
mckenzie towne,2023,Street Robbery,3,18283.0,SOUTHEAST,BUILDING OUT,0.1640868566427829
mckenzie towne,2023,Theft FROM Vehicle,56,18283.0,SOUTHEAST,BUILDING OUT,3.0629546573319475
mckenzie towne,2023,Theft OF Vehicle,29,18283.0,SOUTHEAST,BUILDING OUT,1.5861729475469015
mckenzie towne,2023,Violence  'Other' (Non-domestic),15,18283.0,SOUTHEAST,BUILDING OUT,0.8204342832139145
mckenzie towne,2024,Assault (Non-domestic),22,18283.0,SOUTHEAST,BUILDING OUT,1.203303615380408
mckenzie towne,2024,Break & Enter - Commercial,8,18283.0,SOUTHEAST,BUILDING OUT,0.4375649510474211
mckenzie towne,2024,Break & Enter - Dwelling,7,18283.0,SOUTHEAST,BUILDING OUT,0.38286933216649344
mckenzie towne,2024,Break & Enter - Other Premises,11,18283.0,SOUTHEAST,BUILDING OUT,0.601651807690204
mckenzie towne,2024,Commercial Robbery,4,18283.0,SOUTHEAST,BUILDING OUT,0.21878247552371055
mckenzie towne,2024,Street Robbery,2,18283.0,SOUTHEAST,BUILDING OUT,0.10939123776185528
mckenzie towne,2024,Theft FROM Vehicle,25,18283.0,SOUTHEAST,BUILDING OUT,1.3673904720231909
mckenzie towne,2024,Theft OF Vehicle,23,18283.0,SOUTHEAST,BUILDING OUT,1.2579992342613358
mckenzie towne,2024,Violence  'Other' (Non-domestic),15,18283.0,SOUTHEAST,BUILDING OUT,0.8204342832139145
meadowlark park,2018,Assault (Non-domestic),30,644.0,CENTRE,1950s,46.58385093167701
meadowlark park,2018,Break & Enter - Commercial,8,644.0,CENTRE,1950s,12.422360248447204
meadowlark park,2018,Break & Enter - Dwelling,4,644.0,CENTRE,1950s,6.211180124223602
meadowlark park,2018,Break & Enter - Other Premises,8,644.0,CENTRE,1950s,12.422360248447204
meadowlark park,2018,Commercial Robbery,2,644.0,CENTRE,1950s,3.105590062111801
meadowlark park,2018,Street Robbery,7,644.0,CENTRE,1950s,10.869565217391305
meadowlark park,2018,Theft FROM Vehicle,57,644.0,CENTRE,1950s,88.50931677018633
meadowlark park,2018,Theft OF Vehicle,25,644.0,CENTRE,1950s,38.81987577639751
meadowlark park,2018,Violence  'Other' (Non-domestic),7,644.0,CENTRE,1950s,10.869565217391305
meadowlark park,2019,Assault (Non-domestic),32,644.0,CENTRE,1950s,49.689440993788814
meadowlark park,2019,Break & Enter - Commercial,19,644.0,CENTRE,1950s,29.503105590062113
meadowlark park,2019,Break & Enter - Dwelling,5,644.0,CENTRE,1950s,7.763975155279503
meadowlark park,2019,Break & Enter - Other Premises,4,644.0,CENTRE,1950s,6.211180124223602
meadowlark park,2019,Commercial Robbery,4,644.0,CENTRE,1950s,6.211180124223602
meadowlark park,2019,Street Robbery,5,644.0,CENTRE,1950s,7.763975155279503
meadowlark park,2019,Theft FROM Vehicle,106,644.0,CENTRE,1950s,164.59627329192548
meadowlark park,2019,Theft OF Vehicle,36,644.0,CENTRE,1950s,55.900621118012424
meadowlark park,2019,Violence  'Other' (Non-domestic),8,644.0,CENTRE,1950s,12.422360248447204
meadowlark park,2020,Assault (Non-domestic),16,644.0,CENTRE,1950s,24.844720496894407
meadowlark park,2020,Break & Enter - Commercial,18,644.0,CENTRE,1950s,27.950310559006212
meadowlark park,2020,Break & Enter - Other Premises,10,644.0,CENTRE,1950s,15.527950310559007
meadowlark park,2020,Commercial Robbery,3,644.0,CENTRE,1950s,4.658385093167702
meadowlark park,2020,Street Robbery,7,644.0,CENTRE,1950s,10.869565217391305
meadowlark park,2020,Theft FROM Vehicle,60,644.0,CENTRE,1950s,93.16770186335403
meadowlark park,2020,Theft OF Vehicle,17,644.0,CENTRE,1950s,26.39751552795031
meadowlark park,2020,Violence  'Other' (Non-domestic),3,644.0,CENTRE,1950s,4.658385093167702
meadowlark park,2021,Assault (Non-domestic),16,644.0,CENTRE,1950s,24.844720496894407
meadowlark park,2021,Break & Enter - Commercial,5,644.0,CENTRE,1950s,7.763975155279503
meadowlark park,2021,Break & Enter - Other Premises,8,644.0,CENTRE,1950s,12.422360248447204
meadowlark park,2021,Commercial Robbery,6,644.0,CENTRE,1950s,9.316770186335404
meadowlark park,2021,Street Robbery,9,644.0,CENTRE,1950s,13.975155279503106
meadowlark park,2021,Theft FROM Vehicle,48,644.0,CENTRE,1950s,74.53416149068323
meadowlark park,2021,Theft OF Vehicle,16,644.0,CENTRE,1950s,24.844720496894407
meadowlark park,2021,Violence  'Other' (Non-domestic),7,644.0,CENTRE,1950s,10.869565217391305
meadowlark park,2022,Assault (Non-domestic),22,644.0,CENTRE,1950s,34.161490683229815
meadowlark park,2022,Break & Enter - Commercial,17,644.0,CENTRE,1950s,26.39751552795031
meadowlark park,2022,Break & Enter - Dwelling,2,644.0,CENTRE,1950s,3.105590062111801
meadowlark park,2022,Break & Enter - Other Premises,4,644.0,CENTRE,1950s,6.211180124223602
meadowlark park,2022,Commercial Robbery,6,644.0,CENTRE,1950s,9.316770186335404
meadowlark park,2022,Street Robbery,7,644.0,CENTRE,1950s,10.869565217391305
meadowlark park,2022,Theft FROM Vehicle,69,644.0,CENTRE,1950s,107.14285714285714
meadowlark park,2022,Theft OF Vehicle,8,644.0,CENTRE,1950s,12.422360248447204
meadowlark park,2022,Violence  'Other' (Non-domestic),8,644.0,CENTRE,1950s,12.422360248447204
meadowlark park,2023,Assault (Non-domestic),31,644.0,CENTRE,1950s,48.13664596273292
meadowlark park,2023,Break & Enter - Commercial,26,644.0,CENTRE,1950s,40.37267080745342
meadowlark park,2023,Break & Enter - Dwelling,1,644.0,CENTRE,1950s,1.5527950310559004
meadowlark park,2023,Break & Enter - Other Premises,3,644.0,CENTRE,1950s,4.658385093167702
meadowlark park,2023,Commercial Robbery,3,644.0,CENTRE,1950s,4.658385093167702
meadowlark park,2023,Street Robbery,11,644.0,CENTRE,1950s,17.080745341614907
meadowlark park,2023,Theft FROM Vehicle,44,644.0,CENTRE,1950s,68.32298136645963
meadowlark park,2023,Theft OF Vehicle,17,644.0,CENTRE,1950s,26.39751552795031
meadowlark park,2023,Violence  'Other' (Non-domestic),6,644.0,CENTRE,1950s,9.316770186335404
meadowlark park,2024,Assault (Non-domestic),23,644.0,CENTRE,1950s,35.714285714285715
meadowlark park,2024,Break & Enter - Commercial,13,644.0,CENTRE,1950s,20.18633540372671
meadowlark park,2024,Break & Enter - Dwelling,1,644.0,CENTRE,1950s,1.5527950310559004
meadowlark park,2024,Break & Enter - Other Premises,4,644.0,CENTRE,1950s,6.211180124223602
meadowlark park,2024,Commercial Robbery,5,644.0,CENTRE,1950s,7.763975155279503
meadowlark park,2024,Street Robbery,10,644.0,CENTRE,1950s,15.527950310559007
meadowlark park,2024,Theft FROM Vehicle,27,644.0,CENTRE,1950s,41.92546583850932
meadowlark park,2024,Theft OF Vehicle,14,644.0,CENTRE,1950s,21.73913043478261
meadowlark park,2024,Violence  'Other' (Non-domestic),11,644.0,CENTRE,1950s,17.080745341614907
medicine hill,2019,Break & Enter - Commercial,1,,,,
medicine hill,2020,Theft FROM Vehicle,1,,,,
medicine hill,2021,Break & Enter - Commercial,3,,,,
medicine hill,2021,Theft FROM Vehicle,4,,,,
medicine hill,2021,Theft OF Vehicle,1,,,,
medicine hill,2022,Break & Enter - Commercial,1,,,,
medicine hill,2022,Theft OF Vehicle,1,,,,
medicine hill,2023,Break & Enter - Commercial,2,,,,
medicine hill,2023,Theft FROM Vehicle,11,,,,
medicine hill,2024,Assault (Non-domestic),2,,,,
medicine hill,2024,Break & Enter - Commercial,4,,,,
medicine hill,2024,Commercial Robbery,1,,,,
medicine hill,2024,Theft FROM Vehicle,2,,,,
medicine hill,2024,Theft OF Vehicle,1,,,,
meridian,2018,Assault (Non-domestic),16,,,,
meridian,2018,Break & Enter - Commercial,31,,,,
meridian,2018,Street Robbery,4,,,,
meridian,2018,Theft FROM Vehicle,55,,,,
meridian,2018,Theft OF Vehicle,34,,,,
meridian,2018,Violence  'Other' (Non-domestic),8,,,,
meridian,2019,Assault (Non-domestic),10,,,,
meridian,2019,Break & Enter - Commercial,48,,,,
meridian,2019,Break & Enter - Other Premises,3,,,,
meridian,2019,Street Robbery,1,,,,
meridian,2019,Theft FROM Vehicle,44,,,,
meridian,2019,Theft OF Vehicle,67,,,,
meridian,2019,Violence  'Other' (Non-domestic),2,,,,
meridian,2020,Assault (Non-domestic),6,,,,
meridian,2020,Break & Enter - Commercial,30,,,,
meridian,2020,Break & Enter - Dwelling,1,,,,
meridian,2020,Street Robbery,3,,,,
meridian,2020,Theft FROM Vehicle,36,,,,
meridian,2020,Theft OF Vehicle,41,,,,
meridian,2020,Violence  'Other' (Non-domestic),2,,,,
meridian,2021,Assault (Non-domestic),14,,,,
meridian,2021,Break & Enter - Commercial,22,,,,
meridian,2021,Street Robbery,1,,,,
meridian,2021,Theft FROM Vehicle,23,,,,
meridian,2021,Theft OF Vehicle,35,,,,
meridian,2021,Violence  'Other' (Non-domestic),5,,,,
meridian,2022,Assault (Non-domestic),25,,,,
meridian,2022,Break & Enter - Commercial,40,,,,
meridian,2022,Break & Enter - Other Premises,1,,,,
meridian,2022,Street Robbery,7,,,,
meridian,2022,Theft FROM Vehicle,65,,,,
meridian,2022,Theft OF Vehicle,52,,,,
meridian,2022,Violence  'Other' (Non-domestic),3,,,,
meridian,2023,Assault (Non-domestic),16,,,,
meridian,2023,Break & Enter - Commercial,34,,,,
meridian,2023,Break & Enter - Other Premises,1,,,,
meridian,2023,Commercial Robbery,1,,,,
meridian,2023,Street Robbery,5,,,,
meridian,2023,Theft FROM Vehicle,44,,,,
meridian,2023,Theft OF Vehicle,38,,,,
meridian,2023,Violence  'Other' (Non-domestic),6,,,,
meridian,2024,Assault (Non-domestic),14,,,,
meridian,2024,Break & Enter - Commercial,17,,,,
meridian,2024,Street Robbery,1,,,,
meridian,2024,Theft FROM Vehicle,27,,,,
meridian,2024,Theft OF Vehicle,30,,,,
meridian,2024,Violence  'Other' (Non-domestic),4,,,,
midnapore,2018,Assault (Non-domestic),7,7270.0,SOUTH,1960s/1970s,0.9628610729023384
midnapore,2018,Break & Enter - Commercial,25,7270.0,SOUTH,1960s/1970s,3.43878954607978
midnapore,2018,Break & Enter - Dwelling,8,7270.0,SOUTH,1960s/1970s,1.1004126547455295
midnapore,2018,Break & Enter - Other Premises,6,7270.0,SOUTH,1960s/1970s,0.8253094910591472
midnapore,2018,Street Robbery,3,7270.0,SOUTH,1960s/1970s,0.4126547455295736
midnapore,2018,Theft FROM Vehicle,46,7270.0,SOUTH,1960s/1970s,6.327372764786795
midnapore,2018,Theft OF Vehicle,20,7270.0,SOUTH,1960s/1970s,2.751031636863824
midnapore,2018,Violence  'Other' (Non-domestic),11,7270.0,SOUTH,1960s/1970s,1.513067400275103
midnapore,2019,Assault (Non-domestic),11,7270.0,SOUTH,1960s/1970s,1.513067400275103
midnapore,2019,Break & Enter - Commercial,22,7270.0,SOUTH,1960s/1970s,3.026134800550206
midnapore,2019,Break & Enter - Dwelling,8,7270.0,SOUTH,1960s/1970s,1.1004126547455295
midnapore,2019,Break & Enter - Other Premises,7,7270.0,SOUTH,1960s/1970s,0.9628610729023384
midnapore,2019,Street Robbery,1,7270.0,SOUTH,1960s/1970s,0.1375515818431912
midnapore,2019,Theft FROM Vehicle,70,7270.0,SOUTH,1960s/1970s,9.628610729023384
midnapore,2019,Theft OF Vehicle,20,7270.0,SOUTH,1960s/1970s,2.751031636863824
midnapore,2019,Violence  'Other' (Non-domestic),19,7270.0,SOUTH,1960s/1970s,2.6134800550206325
midnapore,2020,Assault (Non-domestic),15,7270.0,SOUTH,1960s/1970s,2.063273727647868
midnapore,2020,Break & Enter - Commercial,13,7270.0,SOUTH,1960s/1970s,1.7881705639614855
midnapore,2020,Break & Enter - Dwelling,3,7270.0,SOUTH,1960s/1970s,0.4126547455295736
midnapore,2020,Break & Enter - Other Premises,7,7270.0,SOUTH,1960s/1970s,0.9628610729023384
midnapore,2020,Street Robbery,1,7270.0,SOUTH,1960s/1970s,0.1375515818431912
midnapore,2020,Theft FROM Vehicle,38,7270.0,SOUTH,1960s/1970s,5.226960110041265
midnapore,2020,Theft OF Vehicle,14,7270.0,SOUTH,1960s/1970s,1.9257221458046767
midnapore,2020,Violence  'Other' (Non-domestic),11,7270.0,SOUTH,1960s/1970s,1.513067400275103
midnapore,2021,Assault (Non-domestic),8,7270.0,SOUTH,1960s/1970s,1.1004126547455295
midnapore,2021,Break & Enter - Commercial,11,7270.0,SOUTH,1960s/1970s,1.513067400275103
midnapore,2021,Break & Enter - Dwelling,3,7270.0,SOUTH,1960s/1970s,0.4126547455295736
midnapore,2021,Break & Enter - Other Premises,7,7270.0,SOUTH,1960s/1970s,0.9628610729023384
midnapore,2021,Theft FROM Vehicle,29,7270.0,SOUTH,1960s/1970s,3.988995873452545
midnapore,2021,Theft OF Vehicle,7,7270.0,SOUTH,1960s/1970s,0.9628610729023384
midnapore,2021,Violence  'Other' (Non-domestic),9,7270.0,SOUTH,1960s/1970s,1.237964236588721
midnapore,2022,Assault (Non-domestic),15,7270.0,SOUTH,1960s/1970s,2.063273727647868
midnapore,2022,Break & Enter - Commercial,16,7270.0,SOUTH,1960s/1970s,2.200825309491059
midnapore,2022,Break & Enter - Dwelling,6,7270.0,SOUTH,1960s/1970s,0.8253094910591472
midnapore,2022,Break & Enter - Other Premises,6,7270.0,SOUTH,1960s/1970s,0.8253094910591472
midnapore,2022,Street Robbery,1,7270.0,SOUTH,1960s/1970s,0.1375515818431912
midnapore,2022,Theft FROM Vehicle,53,7270.0,SOUTH,1960s/1970s,7.290233837689134
midnapore,2022,Theft OF Vehicle,14,7270.0,SOUTH,1960s/1970s,1.9257221458046767
midnapore,2022,Violence  'Other' (Non-domestic),9,7270.0,SOUTH,1960s/1970s,1.237964236588721
midnapore,2023,Assault (Non-domestic),4,7270.0,SOUTH,1960s/1970s,0.5502063273727648
midnapore,2023,Break & Enter - Commercial,12,7270.0,SOUTH,1960s/1970s,1.6506189821182944
midnapore,2023,Break & Enter - Dwelling,7,7270.0,SOUTH,1960s/1970s,0.9628610729023384
midnapore,2023,Break & Enter - Other Premises,1,7270.0,SOUTH,1960s/1970s,0.1375515818431912
midnapore,2023,Commercial Robbery,1,7270.0,SOUTH,1960s/1970s,0.1375515818431912
midnapore,2023,Theft FROM Vehicle,23,7270.0,SOUTH,1960s/1970s,3.1636863823933976
midnapore,2023,Theft OF Vehicle,12,7270.0,SOUTH,1960s/1970s,1.6506189821182944
midnapore,2023,Violence  'Other' (Non-domestic),11,7270.0,SOUTH,1960s/1970s,1.513067400275103
midnapore,2024,Assault (Non-domestic),9,7270.0,SOUTH,1960s/1970s,1.237964236588721
midnapore,2024,Break & Enter - Commercial,5,7270.0,SOUTH,1960s/1970s,0.687757909215956
midnapore,2024,Break & Enter - Dwelling,4,7270.0,SOUTH,1960s/1970s,0.5502063273727648
midnapore,2024,Break & Enter - Other Premises,2,7270.0,SOUTH,1960s/1970s,0.2751031636863824
midnapore,2024,Commercial Robbery,2,7270.0,SOUTH,1960s/1970s,0.2751031636863824
midnapore,2024,Street Robbery,1,7270.0,SOUTH,1960s/1970s,0.1375515818431912
midnapore,2024,Theft FROM Vehicle,21,7270.0,SOUTH,1960s/1970s,2.8885832187070153
midnapore,2024,Theft OF Vehicle,9,7270.0,SOUTH,1960s/1970s,1.237964236588721
midnapore,2024,Violence  'Other' (Non-domestic),11,7270.0,SOUTH,1960s/1970s,1.513067400275103
millrise,2018,Assault (Non-domestic),8,6900.0,SOUTH,1980s/1990s,1.1594202898550725
millrise,2018,Break & Enter - Commercial,27,6900.0,SOUTH,1980s/1990s,3.91304347826087
millrise,2018,Break & Enter - Dwelling,10,6900.0,SOUTH,1980s/1990s,1.4492753623188406
millrise,2018,Break & Enter - Other Premises,3,6900.0,SOUTH,1980s/1990s,0.4347826086956522
millrise,2018,Theft FROM Vehicle,29,6900.0,SOUTH,1980s/1990s,4.202898550724638
millrise,2018,Theft OF Vehicle,10,6900.0,SOUTH,1980s/1990s,1.4492753623188406
millrise,2018,Violence  'Other' (Non-domestic),4,6900.0,SOUTH,1980s/1990s,0.5797101449275363
millrise,2019,Assault (Non-domestic),5,6900.0,SOUTH,1980s/1990s,0.7246376811594203
millrise,2019,Break & Enter - Commercial,4,6900.0,SOUTH,1980s/1990s,0.5797101449275363
millrise,2019,Break & Enter - Dwelling,12,6900.0,SOUTH,1980s/1990s,1.7391304347826089
millrise,2019,Break & Enter - Other Premises,3,6900.0,SOUTH,1980s/1990s,0.4347826086956522
millrise,2019,Street Robbery,1,6900.0,SOUTH,1980s/1990s,0.14492753623188406
millrise,2019,Theft FROM Vehicle,53,6900.0,SOUTH,1980s/1990s,7.6811594202898545
millrise,2019,Theft OF Vehicle,12,6900.0,SOUTH,1980s/1990s,1.7391304347826089
millrise,2019,Violence  'Other' (Non-domestic),3,6900.0,SOUTH,1980s/1990s,0.4347826086956522
millrise,2020,Assault (Non-domestic),2,6900.0,SOUTH,1980s/1990s,0.2898550724637681
millrise,2020,Break & Enter - Commercial,11,6900.0,SOUTH,1980s/1990s,1.5942028985507246
millrise,2020,Break & Enter - Dwelling,9,6900.0,SOUTH,1980s/1990s,1.3043478260869565
millrise,2020,Break & Enter - Other Premises,10,6900.0,SOUTH,1980s/1990s,1.4492753623188406
millrise,2020,Commercial Robbery,1,6900.0,SOUTH,1980s/1990s,0.14492753623188406
millrise,2020,Theft FROM Vehicle,36,6900.0,SOUTH,1980s/1990s,5.217391304347826
millrise,2020,Theft OF Vehicle,8,6900.0,SOUTH,1980s/1990s,1.1594202898550725
millrise,2020,Violence  'Other' (Non-domestic),4,6900.0,SOUTH,1980s/1990s,0.5797101449275363
millrise,2021,Assault (Non-domestic),5,6900.0,SOUTH,1980s/1990s,0.7246376811594203
millrise,2021,Break & Enter - Commercial,9,6900.0,SOUTH,1980s/1990s,1.3043478260869565
millrise,2021,Break & Enter - Dwelling,6,6900.0,SOUTH,1980s/1990s,0.8695652173913044
millrise,2021,Break & Enter - Other Premises,2,6900.0,SOUTH,1980s/1990s,0.2898550724637681
millrise,2021,Commercial Robbery,1,6900.0,SOUTH,1980s/1990s,0.14492753623188406
millrise,2021,Street Robbery,1,6900.0,SOUTH,1980s/1990s,0.14492753623188406
millrise,2021,Theft FROM Vehicle,35,6900.0,SOUTH,1980s/1990s,5.0724637681159415
millrise,2021,Theft OF Vehicle,9,6900.0,SOUTH,1980s/1990s,1.3043478260869565
millrise,2021,Violence  'Other' (Non-domestic),3,6900.0,SOUTH,1980s/1990s,0.4347826086956522
millrise,2022,Assault (Non-domestic),6,6900.0,SOUTH,1980s/1990s,0.8695652173913044
millrise,2022,Break & Enter - Commercial,11,6900.0,SOUTH,1980s/1990s,1.5942028985507246
millrise,2022,Break & Enter - Dwelling,8,6900.0,SOUTH,1980s/1990s,1.1594202898550725
millrise,2022,Break & Enter - Other Premises,2,6900.0,SOUTH,1980s/1990s,0.2898550724637681
millrise,2022,Commercial Robbery,1,6900.0,SOUTH,1980s/1990s,0.14492753623188406
millrise,2022,Street Robbery,1,6900.0,SOUTH,1980s/1990s,0.14492753623188406
millrise,2022,Theft FROM Vehicle,36,6900.0,SOUTH,1980s/1990s,5.217391304347826
millrise,2022,Theft OF Vehicle,13,6900.0,SOUTH,1980s/1990s,1.8840579710144927
millrise,2022,Violence  'Other' (Non-domestic),9,6900.0,SOUTH,1980s/1990s,1.3043478260869565
millrise,2023,Assault (Non-domestic),8,6900.0,SOUTH,1980s/1990s,1.1594202898550725
millrise,2023,Break & Enter - Commercial,6,6900.0,SOUTH,1980s/1990s,0.8695652173913044
millrise,2023,Break & Enter - Dwelling,7,6900.0,SOUTH,1980s/1990s,1.0144927536231885
millrise,2023,Break & Enter - Other Premises,3,6900.0,SOUTH,1980s/1990s,0.4347826086956522
millrise,2023,Commercial Robbery,1,6900.0,SOUTH,1980s/1990s,0.14492753623188406
millrise,2023,Street Robbery,2,6900.0,SOUTH,1980s/1990s,0.2898550724637681
millrise,2023,Theft FROM Vehicle,17,6900.0,SOUTH,1980s/1990s,2.463768115942029
millrise,2023,Theft OF Vehicle,15,6900.0,SOUTH,1980s/1990s,2.1739130434782608
millrise,2023,Violence  'Other' (Non-domestic),6,6900.0,SOUTH,1980s/1990s,0.8695652173913044
millrise,2024,Assault (Non-domestic),4,6900.0,SOUTH,1980s/1990s,0.5797101449275363
millrise,2024,Break & Enter - Commercial,16,6900.0,SOUTH,1980s/1990s,2.318840579710145
millrise,2024,Break & Enter - Dwelling,6,6900.0,SOUTH,1980s/1990s,0.8695652173913044
millrise,2024,Break & Enter - Other Premises,6,6900.0,SOUTH,1980s/1990s,0.8695652173913044
millrise,2024,Commercial Robbery,1,6900.0,SOUTH,1980s/1990s,0.14492753623188406
millrise,2024,Street Robbery,1,6900.0,SOUTH,1980s/1990s,0.14492753623188406
millrise,2024,Theft FROM Vehicle,19,6900.0,SOUTH,1980s/1990s,2.7536231884057973
millrise,2024,Theft OF Vehicle,7,6900.0,SOUTH,1980s/1990s,1.0144927536231885
millrise,2024,Violence  'Other' (Non-domestic),2,6900.0,SOUTH,1980s/1990s,0.2898550724637681
mission,2018,Assault (Non-domestic),20,4598.0,CENTRE,INNER CITY,4.349717268377556
mission,2018,Break & Enter - Commercial,110,4598.0,CENTRE,INNER CITY,23.923444976076556
mission,2018,Break & Enter - Dwelling,8,4598.0,CENTRE,INNER CITY,1.7398869073510221
mission,2018,Break & Enter - Other Premises,7,4598.0,CENTRE,INNER CITY,1.5224010439321445
mission,2018,Theft FROM Vehicle,91,4598.0,CENTRE,INNER CITY,19.791213571117876
mission,2018,Theft OF Vehicle,18,4598.0,CENTRE,INNER CITY,3.9147455415398
mission,2018,Violence  'Other' (Non-domestic),18,4598.0,CENTRE,INNER CITY,3.9147455415398
mission,2019,Assault (Non-domestic),8,4598.0,CENTRE,INNER CITY,1.7398869073510221
mission,2019,Break & Enter - Commercial,98,4598.0,CENTRE,INNER CITY,21.313614615050025
mission,2019,Break & Enter - Dwelling,10,4598.0,CENTRE,INNER CITY,2.174858634188778
mission,2019,Break & Enter - Other Premises,5,4598.0,CENTRE,INNER CITY,1.087429317094389
mission,2019,Street Robbery,1,4598.0,CENTRE,INNER CITY,0.21748586341887777
mission,2019,Theft FROM Vehicle,172,4598.0,CENTRE,INNER CITY,37.40756850804698
mission,2019,Theft OF Vehicle,28,4598.0,CENTRE,INNER CITY,6.089604175728578
mission,2019,Violence  'Other' (Non-domestic),12,4598.0,CENTRE,INNER CITY,2.609830361026533
mission,2020,Assault (Non-domestic),20,4598.0,CENTRE,INNER CITY,4.349717268377556
mission,2020,Break & Enter - Commercial,75,4598.0,CENTRE,INNER CITY,16.311439756415833
mission,2020,Break & Enter - Dwelling,5,4598.0,CENTRE,INNER CITY,1.087429317094389
mission,2020,Break & Enter - Other Premises,10,4598.0,CENTRE,INNER CITY,2.174858634188778
mission,2020,Commercial Robbery,2,4598.0,CENTRE,INNER CITY,0.43497172683775553
mission,2020,Street Robbery,4,4598.0,CENTRE,INNER CITY,0.8699434536755111
mission,2020,Theft FROM Vehicle,135,4598.0,CENTRE,INNER CITY,29.3605915615485
mission,2020,Theft OF Vehicle,26,4598.0,CENTRE,INNER CITY,5.654632448890822
mission,2020,Violence  'Other' (Non-domestic),16,4598.0,CENTRE,INNER CITY,3.4797738147020443
mission,2021,Assault (Non-domestic),14,4598.0,CENTRE,INNER CITY,3.044802087864289
mission,2021,Break & Enter - Commercial,21,4598.0,CENTRE,INNER CITY,4.567203131796433
mission,2021,Break & Enter - Dwelling,6,4598.0,CENTRE,INNER CITY,1.3049151805132666
mission,2021,Break & Enter - Other Premises,3,4598.0,CENTRE,INNER CITY,0.6524575902566333
mission,2021,Commercial Robbery,2,4598.0,CENTRE,INNER CITY,0.43497172683775553
mission,2021,Street Robbery,3,4598.0,CENTRE,INNER CITY,0.6524575902566333
mission,2021,Theft FROM Vehicle,78,4598.0,CENTRE,INNER CITY,16.963897346672468
mission,2021,Theft OF Vehicle,17,4598.0,CENTRE,INNER CITY,3.6972596781209224
mission,2021,Violence  'Other' (Non-domestic),12,4598.0,CENTRE,INNER CITY,2.609830361026533
mission,2022,Assault (Non-domestic),14,4598.0,CENTRE,INNER CITY,3.044802087864289
mission,2022,Break & Enter - Commercial,27,4598.0,CENTRE,INNER CITY,5.872118312309699
mission,2022,Break & Enter - Dwelling,1,4598.0,CENTRE,INNER CITY,0.21748586341887777
mission,2022,Break & Enter - Other Premises,2,4598.0,CENTRE,INNER CITY,0.43497172683775553
mission,2022,Commercial Robbery,2,4598.0,CENTRE,INNER CITY,0.43497172683775553
mission,2022,Street Robbery,4,4598.0,CENTRE,INNER CITY,0.8699434536755111
mission,2022,Theft FROM Vehicle,58,4598.0,CENTRE,INNER CITY,12.614180078294911
mission,2022,Theft OF Vehicle,14,4598.0,CENTRE,INNER CITY,3.044802087864289
mission,2022,Violence  'Other' (Non-domestic),11,4598.0,CENTRE,INNER CITY,2.3923444976076556
mission,2023,Assault (Non-domestic),10,4598.0,CENTRE,INNER CITY,2.174858634188778
mission,2023,Break & Enter - Commercial,25,4598.0,CENTRE,INNER CITY,5.437146585471945
mission,2023,Break & Enter - Dwelling,5,4598.0,CENTRE,INNER CITY,1.087429317094389
mission,2023,Break & Enter - Other Premises,3,4598.0,CENTRE,INNER CITY,0.6524575902566333
mission,2023,Street Robbery,1,4598.0,CENTRE,INNER CITY,0.21748586341887777
mission,2023,Theft FROM Vehicle,72,4598.0,CENTRE,INNER CITY,15.6589821661592
mission,2023,Theft OF Vehicle,16,4598.0,CENTRE,INNER CITY,3.4797738147020443
mission,2023,Violence  'Other' (Non-domestic),11,4598.0,CENTRE,INNER CITY,2.3923444976076556
mission,2024,Assault (Non-domestic),17,4598.0,CENTRE,INNER CITY,3.6972596781209224
mission,2024,Break & Enter - Commercial,10,4598.0,CENTRE,INNER CITY,2.174858634188778
mission,2024,Break & Enter - Dwelling,7,4598.0,CENTRE,INNER CITY,1.5224010439321445
mission,2024,Commercial Robbery,1,4598.0,CENTRE,INNER CITY,0.21748586341887777
mission,2024,Street Robbery,1,4598.0,CENTRE,INNER CITY,0.21748586341887777
mission,2024,Theft FROM Vehicle,42,4598.0,CENTRE,INNER CITY,9.134406263592865
mission,2024,Theft OF Vehicle,13,4598.0,CENTRE,INNER CITY,2.827316224445411
